time,open,high,low,close
2025-07-11T10:30:00+05:30,689.25,689.25,688.5,688.55
2025-07-11T10:31:00+05:30,688.7,689,688.5,689
2025-07-11T10:32:00+05:30,689,689,688.3,688.35
2025-07-11T10:33:00+05:30,688.35,688.5,688.1,688.25
2025-07-11T10:34:00+05:30,688.35,688.5,688.15,688.5
2025-07-11T10:35:00+05:30,688.5,688.5,688.25,688.3
2025-07-11T10:36:00+05:30,688.35,688.8,688.3,688.75
2025-07-11T10:37:00+05:30,689,689.4,688.5,689.4
2025-07-11T10:38:00+05:30,689.4,689.4,689.3,689.35
2025-07-11T10:39:00+05:30,689.4,690,689.4,689.85
2025-07-11T10:40:00+05:30,689.85,689.95,689.65,689.65
2025-07-11T10:41:00+05:30,689.6,690,689.35,689.7
2025-07-11T10:42:00+05:30,689.7,690.1,689.6,690
2025-07-11T10:43:00+05:30,690.1,690.3,689.55,689.55
2025-07-11T10:44:00+05:30,689.7,690.2,689.7,690.2
2025-07-11T10:45:00+05:30,690.2,690.2,689.85,689.9
2025-07-11T10:46:00+05:30,689.75,689.9,689.45,689.45
2025-07-11T10:47:00+05:30,689.55,689.7,689.15,689.4
2025-07-11T10:48:00+05:30,689.4,689.4,689.15,689.35
2025-07-11T10:49:00+05:30,689.4,689.45,689.25,689.45
2025-07-11T10:50:00+05:30,689.2,689.9,689.15,689.9
2025-07-11T10:51:00+05:30,689.8,690.15,689.65,690.15
2025-07-11T10:52:00+05:30,690.15,690.15,690,690
2025-07-11T10:53:00+05:30,690.05,690.05,690,690.05
2025-07-11T10:54:00+05:30,690,690.15,689.55,689.55
2025-07-11T10:55:00+05:30,689.7,689.7,689.3,689.5
2025-07-11T10:56:00+05:30,689.45,689.5,689.35,689.4
2025-07-11T10:57:00+05:30,689.2,689.25,689.05,689.1
2025-07-11T10:58:00+05:30,688.8,688.95,688.2,688.55
2025-07-11T10:59:00+05:30,688.4,688.95,688.4,688.95
2025-07-11T11:00:00+05:30,688.95,688.95,688.5,688.5
2025-07-11T11:01:00+05:30,688.4,688.45,688.1,688.35
2025-07-11T11:02:00+05:30,688.25,688.4,688,688
2025-07-11T11:03:00+05:30,688,688.25,687.8,688.1
2025-07-11T11:04:00+05:30,688.1,688.55,687.8,688.45
2025-07-11T11:05:00+05:30,688.45,688.5,687.35,687.4
2025-07-11T11:06:00+05:30,687.5,688.25,687,688.15
2025-07-11T11:07:00+05:30,688.15,688.25,687.85,688.2
2025-07-11T11:08:00+05:30,688.2,688.25,688,688.2
2025-07-11T11:09:00+05:30,688.05,688.1,687.6,687.65
2025-07-11T11:10:00+05:30,687.7,687.7,687.5,687.6
2025-07-11T11:11:00+05:30,687.65,688.1,687.55,687.9
2025-07-11T11:12:00+05:30,687.9,689.5,687.8,689.5
2025-07-11T11:13:00+05:30,689.45,689.7,688.35,688.7
2025-07-11T11:14:00+05:30,688.7,688.95,688.5,688.75
2025-07-11T11:15:00+05:30,688.75,688.75,688.1,688.5
2025-07-11T11:16:00+05:30,688.35,688.95,688.35,688.9
2025-07-11T11:17:00+05:30,688.85,688.85,688.35,688.4
2025-07-11T11:18:00+05:30,688.4,688.6,688.4,688.4
2025-07-11T11:19:00+05:30,688.4,688.4,688,688.25
2025-07-11T11:20:00+05:30,688.15,688.25,687.8,688.1
2025-07-11T11:21:00+05:30,688.1,688.5,688.1,688.15
2025-07-11T11:22:00+05:30,688.2,688.5,688.1,688.3
2025-07-11T11:23:00+05:30,688.3,688.3,688.15,688.25
2025-07-11T11:24:00+05:30,688.15,688.3,688.1,688.3
2025-07-11T11:25:00+05:30,688.3,688.3,688,688.15
2025-07-11T11:26:00+05:30,688.15,688.15,688,688
2025-07-11T11:27:00+05:30,688,688.15,688,688.1
2025-07-11T11:28:00+05:30,688.15,688.15,687.7,687.7
2025-07-11T11:29:00+05:30,687.8,688.45,687.75,688.45
2025-07-11T11:30:00+05:30,688.5,688.6,688.2,688.35
2025-07-11T11:31:00+05:30,688.2,688.6,688.2,688.6
